// input: .\VOICE_TEST\VO_02_001000_0150_jp.wav,,,,,,,,,,
// framerate: 60 [fps],,,,,,,,,,
// frame count, msec, width(0-1 def=0.583), height(0-1 def=0.000), tongue(0-1 def=0.000), A(0-1), I(0-1), U(0-1), E(0-1), O(0-1), Vol(dB)
213,3550,0.695978,0.3,0.997597,0,0.030244,0.539022,0,0,-10.131266
214,3566,0.695978,0.3,0.998985,0,0.100488,0.339274,0,0,-10.062658
215,3583,0.68468,0.29,0.999571,0.049477,0,0.239311,0,0,-10.263185
216,3600,0.671424,0.310537,0.999571,0.099214,0,0.239311,0,0,-11.017299
217,3616,0.662816,0.381029,0.999571,0.397132,0.030244,0,0,0,-12.512911
218,3633,0.660309,0.455932,0.999571,0.597083,0.020027,0,0,0,-12.991401
219,3650,0.660707,0.488483,0.999571,0.697073,0.02,0,0,0,-13.580521
220,3666,0.662397,0.521097,0.999571,0.737073,0.04,0,0,0,-15.134505
221,3683,0.662397,0.521097,0.999571,0.758118,0.03,0,0,0,-16.254112
222,3700,0.658839,0.540569,0.666381,0.758642,0.03,0,0,0,-17.258615
223,3716,0.653981,0.585036,0.296169,0.759939,0.03,0,0,0,-18.959358
224,3733,0.649509,0.618494,0.131631,0.759984,0.03,0,0,0,-21.864435
225,3750,0.647057,0.624059,0.087754,0.759988,0.03,0,0,0,-24.792616
226,3766,0.643969,0.619016,0.039002,0.919979,0.01,0,0,0,-30.812313
227,3783,0.639405,0.615122,0.017334,0.999974,0,0,0,0.000003,-34.823448
228,3800,0.638289,0.631436,0.011556,0.899975,0,0,0,0.000006,-53.581585
229,3816,0.638289,0.631436,0.005136,0.699975,0,0,0,0.000006,-62.610451
230,3833,0.638289,0.631436,0.002283,0.499978,0,0,0,0.000006,-69.620544
231,3850,0.638289,0.631436,0.001522,0.399984,0,0,0,0.000006,-76.502197
232,3866,0.638289,0.631436,0.000676,0.199994,0,0,0,0.000006,-82.637344
233,3883,0.638289,0.631436,0.000301,0,0,0,0,0,-91.955612
234,3900,0.638289,0.631436,0.0002,0,0,0,0,0,-96
235,3916,0.627784,0.511463,0.000089,0,0,0,0,0,-96
236,3933,0.619275,0.414285,0.00004,0,0,0,0,0,-96
237,3950,0.615648,0.372857,0.000026,0,0,0,0,0,-96
238,3966,0.609445,0.302014,0.000012,0,0,0,0,0,-96
239,3983,0.60442,0.244631,0.000005,0,0,0,0,0,-96
240,4000,0.602278,0.220168,0.000003,0,0,0,0,0,-96
241,4016,0.598615,0.178336,0.000002,0,0,0,0,0,-96
242,4033,0.595648,0.144452,0.000001,0,0,0,0,0,-96
243,4050,0.594384,0.130007,0,0,0,0,0,0,-96
244,4066,0.592221,0.105306,0,0,0,0,0,0,-96
245,4083,0.590469,0.085298,0,0,0,0,0,0,-96
246,4100,0.589722,0.076768,0,0,0,0,0,0,-96
247,4116,0.588445,0.062182,0,0,0,0,0,0,-96
248,4133,0.58741,0.050367,0,0,0,0,0,0,-96
249,4150,0.586969,0.045331,0,0,0,0,0,0,-96
250,4166,0.586215,0.036718,0,0,0,0,0,0,-96
251,4183,0.585604,0.029741,0,0,0,0,0,0,-96
252,4200,0.585344,0.026767,0,0,0,0,0,0,-96
253,4216,0.584898,0.021682,0,0,0,0,0,0,-96
254,4233,0.584538,0.017562,0,0,0,0,0,0,-96
255,4250,0.584384,0.015806,0,0,0,0,0,0,-96
256,4266,0.584121,0.012803,0,0,0,0,0,0,-96
257,4283,0.583908,0.01037,0,0,0,0,0,0,-96
258,4300,0.583817,0.009333,0,0,0,0,0,0,-96
259,4316,0.583662,0.00756,0,0,0,0,0,0,-96
260,4333,0.583536,0.006123,0,0,0,0,0,0,-96
261,4350,0.583483,0.005511,0,0,0,0,0,0,-96
262,4366,0.583391,0.004464,0,0,0,0,0,0,-96
263,4383,0.583317,0.003616,0,0,0,0,0,0,-96
264,4400,0.583285,0.003254,0,0,0,0,0,0,-96
265,4416,0.583231,0.002636,0,0,0,0,0,0,-96
266,4433,0.583187,0.002135,0,0,0,0,0,0,-96
267,4450,0.583168,0.001922,0,0,0,0,0,0,-96
268,4466,0.583136,0.001557,0,0,0,0,0,0,-96
